Zip,Household Median,Family Median,Married Couple Median,Nonfamily Household Median,Household Mean,Family Mean,Married Couple Mean,Nonfamily Mean
97756,59077,67965,73857,31094,68465,76534,N,45028
97758,21932,-,51750,20556,56868,81456,N,18450
97759,70662,82584,84972,33444,95625,109946,N,51110
97760,60688,68709,69533,31544,71309,82307,N,42308
97761,42625,43750,62375,20875,51891,52574,N,31448
97801,51120,65637,74829,28621,64492,77281,N,39938
97810,76667,88542,95750,48958,87540,96507,N,62112
97812,57708,65000,76094,34375,68238,68418,N,65700
97813,63107,67937,68588,21944,65228,72310,N,26461
97814,44442,57028,62832,28926,63407,77993,N,36421
97817,-,-,-,-,N,N,N,-
97818,51928,56867,63421,23292,63723,70740,N,38888
97819,53750,-,-,-,122947,209475,N,24057
97820,51250,70000,76339,27500,62634,71559,N,35661
97823,41182,48563,60000,24000,48863,61319,N,28266
97824,54250,63977,69875,22868,67485,78469,N,29196
97825,50000,55625,55625,31875,57904,70711,N,36055
97826,40625,54531,59643,22917,63338,75168,N,33744
97827,42107,56510,62857,22589,51554,63829,N,27652
97828,45769,70089,84000,22366,61326,79930,N,29652
97830,30909,49583,49583,28233,43421,54585,N,32239
97833,45625,51161,53750,20197,61018,60725,N,45428
97834,41118,50885,51953,28750,52768,65853,N,33016
97835,48523,53125,62750,27500,59680,66173,N,37993
97836,49107,59784,72656,35665,61711,70214,N,39063
97837,-,78125,78125,20313,45425,68247,N,19092
97838,55293,61651,71186,36871,67732,74696,N,45346
97839,50625,52679,51875,-,56205,61914,N,33674
97840,79732,78661,69792,-,91397,88692,N,-
97841,76500,79318,82955,-,79800,85865,N,59184
97842,35500,57708,57708,24135,58315,70318,N,23718
97843,65208,81591,82778,36250,78586,93943,N,36094
97844,60637,65921,69375,37917,66526,68530,N,47329
97845,41365,60461,75363,24830,56023,64657,N,45592
97846,57333,67500,78403,27750,74014,85397,N,45791
97848,50556,52031,52188,-,76947,84605,N,31285
97850,46800,61547,74605,28771,67953,79189,N,47474
97856,57500,56750,56750,67587,57716,65060,N,50787
97857,41875,54167,71875,18500,53701,64635,N,20966
97859,-,-,-,-,59798,62463,N,N
97862,49556,56289,65153,21108,64326,77701,N,31135
97864,22292,24000,27750,20000,42184,43018,N,37575
97865,50031,52946,53958,18333,58157,70322,N,32017
97867,36111,39792,63000,30481,54735,61903,N,34681
97868,54634,66023,69063,31667,74511,85343,N,52763
97869,49219,58239,60357,19615,50286,60073,N,27089
97870,41071,52569,52986,21607,48880,58179,N,34049
97873,45729,60208,53594,16250,56702,72842,N,25436
97874,35417,40750,42500,20417,43647,47473,N,32341
97875,58508,60500,69250,43162,66210,66449,N,48619
97876,70673,77750,81875,60000,78379,80128,N,62069
97877,11250,40417,52917,9145,32347,65615,N,15293
97880,47500,55417,63125,28333,54340,67010,N,38050
97882,42221,50562,66094,26062,52272,59928,N,38091
97883,54309,56250,68854,38882,62838,70080,N,42109
97884,37344,53125,53125,33750,48726,59856,N,33608
97885,39076,43750,54464,27083,53495,63682,N,36182
